日付,時刻,区,出没場所,緯度,経度,状況,ソース
2025/4/3,9:30,南区,南区小金湯566番地1付近(国道230号線上),42.958919,141.227386,ヒグマを目撃,公式
2025/4/3,14:36,南区,南区定山渓10番8付近(豊平峡発電所付近の国号230号線わき),42.968087,141.19685,ヒグマを目撃,公式
2025/4/5,12:40,南区,南区定山渓温泉西3丁目99番1号付近(定山渓病院西側の山林内),42.969,141.163,ヒグマを目撃,公式
2025/4/7,5:53,西区,西区小別沢26番地4付近(小別沢トンネルの西側に約100mの道路上),43.046699,141.280911,ヒグマを目撃,公式
2025/4/7,22:30,中央区,中央区円山西町10丁目1番付近,43.046692,141.308475,ヒグマらしき動物を目撃,公式
2025/4/9,7:45,中央区,中央区盤渓290番地27付近(盤渓橋から東に約100mの道路脇),43.039523,141.255982,ヒグマを目撃,公式
2025/4/9,14:05,南区,南区真駒内380番地29付近,42.930191,141.344963,ヒグマを目撃,公式
2025/4/9,16:46,南区,南区滝野22番地付近,42.913215,141.354804,ヒグマを目撃,公式
2025/4/12,不明,西区,西区自然歩道｢平和の滝~手稲山ルｰト｣(布敷の滝から平和の滝入口方面に向かって約100m付近),43.06342,141.1921,足跡を確認,公式
2025/4/15,17:40,南区,南区藤野622番地1付近,42.942706,141.307621,ヒグマを目撃,公式
2025/4/22,5:05,南区,南区豊滝438番地1付近(じょうてつバス｢豊滝｣バス停付近),42.954639,141.236832,ヒグマを目撃,公式
2025/4/22,7:00,西区,西区福井501番地2付近(平福トンネルから福井方向へ約320mの地点),43.046381,141.254223,ヒグマを目撃,公式
2025/4/22,9:09,中央区,中央区宮の森1277番地1付近(宮の森ジャンプ競技場から南西に約280mの山林内),43.037519,141.29272,ヒグマを目撃,公式
2025/4/22,11:00,西区,西区西野市民の森(散策路から西に約300mの地点),43.068556,141.252389,足跡・フンを確認,公式
2025/4/23,6:10,南区,南区定山渓無番地(国道230号線上中山峠から札幌方面へ約1kmの地点),42.864278,141.107306,ヒグマを目撃,公式
2025/4/26,12:00,西区,西区自然歩道｢平和の滝~手稲山ルｰト｣(平和の滝入口から約1 q地点(砂防ダム付近)),43.056472,141.210861,ヒグマらしき動物を目撃,公式
2025/5/3,20:36,南区,南区滝野5-6付近(鱒見橋から北に約500mの道路上),42.927014,141.393498,ヒグマを目撃,公式
2025/5/7,10:30,南区,南区白川市民の森(案内板8番から9番に向かって約50mの地点),42.984275,141.285724,フンを確認,公式
2025/5/9,10:55,南区,南区常盤472番地付近,42.910087,141.306811,ヒグマを目撃,公式
2025/5/9,7:50,南区,南区定山渓無番地(定山渓トンネルから中山峠方向へ4km付近),42.872196,141.123982,ヒグマを目撃,公式
2025/5/10,10:30,南区,南区白川市民の森(案内板8番付近),42.984977,141.285936,足跡を確認,公式
2025/5/11,6:58,南区,南区南沢515番9付近(東海大学付属札幌高等学校テニスコｰト付近),42.990056,141.325131,ヒグマらしき動物を目撃,公式
2025/5/11,18:10,南区,南区藤野756番地付近,42.934639,141.313361,ヒグマを駆除,公式
2025/5/15,不明,南区,南区小金湯無番地(百松沢林道入口から約1.3km付近),42.97543,141.211913,足跡を確認,公式
2025/5/18,不明,南区,南区白川市民の森(案内板8番付近),42.984472,141.285972,足跡を確認,公式
2025/5/19,5:15,南区,南区定山渓温泉西4丁目341番地付近(定山渓二見公園トイレ付近),42.964785,141.160313,ヒグマらしき動物を目撃,公式
2025/5/20,4:21,中央区,中央区盤渓328番1付近(道道82号線上盤渓橋から約750m南東側の地点),43.036444,141.262282,ヒグマを目撃,公式
2025/5/21,22:34,南区,南区小金湯658番地3付近(一の沢橋から東に約100mの国道230号線上),42.969603,141.209073,ヒグマを目撃,公式
2025/5/22,19:33,中央区,中央区盤渓435番地195付近,43.026474,141.289113,ヒグマを目撃,公式
2025/5/22,20:20,中央区,中央区盤渓240番地付近(宮の森から盤渓へ向かう道路上),43.034472,141.281361,ヒグマを目撃,公式
2025/5/23,17:34,中央区,中央区盤渓206番地付近(札幌市水道局盤渓配水池の道路向かいにある敷地内),43.0355,141.285278,ヒグマを目撃,公式
2025/5/24,19:00,南区,南区定山渓1067番地付近(国道230号線じょうてつバス｢つつじ谷｣バス停(定山渓方面)付近),42.968758,141.193092,ヒグマを目撃,公式
2025/5/26,10:30,南区,南区豊滝市民の森(案内板13番から12番に向かって約20mの地点),42.9365,141.235,足跡を確認,公式
2025/5/26,15:00,南区,南区白川市民の森(案内板20番付近),42.986722,141.283806,フンを確認,公式
2025/5/28,14:10,南区,南区定山渓無番地(定山渓ダム下流園地第1駐車場付近),42.982695,141.156779,ヒグマを目撃,公式
2025/5/29,6:50,南区,南区定山渓6番地3付近(国道230号線の北海道電力豊平峡発電所付近),42.968153,141.196672,ヒグマを目撃,公式
2025/6/2,13:00,南区,南区白川市民の森(案内板1番から6番に向かって30mの地点),42.979405,141.290466,フンを確認,公式
2025/6/2,4:25,南区,南区簾舞27番地7付近,42.945241,141.260929,ヒグマを目撃（親子）,公式
2025/6/2,11:00,南区,南区簾舞485番地3付近,42.95378,141.25275,フンを確認,公式
2025/6/2,15:00,南区,南区豊滝市民の森(案内板5番付近),42.934111,141.235083,フンを確認,公式
2025/6/2,15:00,南区,南区豊滝市民の森(案内板13番付近),42.93633,141.235079,フンを確認,公式
2025/6/2,21:50,南区,南区定山渓1066番地付近(国道230号線上じょうてつバス｢つつじ谷｣バス停(定山渓方面)付近),42.969212,141.192088,ヒグマを目撃,公式
2025/6/2,4:43,豊平区,豊平区羊ケ丘7番地1付近(焼山頂上から東方向へ約200mの林道付近),42.978483,141.394953,カメラでヒグマを確認,公式
2025/6/3,20:21,南区,南区小金湯無番地(国道230号線一の沢橋付近),42.969167,141.206806,ヒグマを目撃,公式
2025/6/3,22:00,南区,南区真駒内柏丘7丁目4番付近 (藻南公園柏ヶ丘広場わきの茂み),42.985361,141.344556,ヒグマらしき動物を目撃,公式
2025/6/5,15:24,南区,南区定山渓9番地4付近(国道230号線上の北海道電力豊平峡発電所付近),42.968339,141.194685,ヒグマを目撃,公式
2025/6/9,11:00,南区,南区白川市民の森(案内板23番付近),42.9864167,141.275,フンを確認,公式
2025/6/10,23:42,中央区,中央区盤渓271番地1付近,43.043058,141.262546,カメラでヒグマを確認,公式
2025/6/11,21:36,豊平区,豊平区羊ケ丘7番地1付近(焼山頂上から北方向へ約1.5kmの林道わき),42.990814,141.3875,カメラでヒグマを確認(親子),公式
2025/6/14,4:27,南区,南区豊滝412番地12付近(国道230号線わき),42.955741,141.242179,ヒグマを目撃,公式
2025/6/14,14:09,南区,南区定山渓無番地(道道95号線上おしどり水処理場から北西に約550m),42.988548,141.115877,ヒグマを目撃,公式
